241.1784 	EXP 	grating: autoDraw = False
241.3468 	EXP 	window1: recordFrameIntervals = False
241.3478 	DATA 	Keypress: left
241.3617 	EXP 	polygon: autoDraw = False
241.3617 	EXP 	grating: autoDraw = False
241.3619 	EXP 	window1: recordFrameIntervals = False
242.3608 	EXP 	polygon: autoDraw = True
243.3456 	EXP 	grating: autoDraw = True
243.3456 	EXP 	grating: tex = 'sin'
243.3625 	EXP 	polygon: autoDraw = False
243.6458 	EXP 	grating: autoDraw = False
243.7481 	EXP 	window1: recordFrameIntervals = False
243.7492 	DATA 	Keypress: left
243.7629 	EXP 	polygon: autoDraw = False
243.7629 	EXP 	grating: autoDraw = False
243.7631 	EXP 	window1: recordFrameIntervals = False
244.7614 	EXP 	polygon: autoDraw = True
245.7461 	EXP 	grating: autoDraw = True
245.7461 	EXP 	grating: tex = 'sin'
245.7629 	EXP 	polygon: autoDraw = False
246.0463 	EXP 	grating: autoDraw = False
246.1982 	EXP 	window1: recordFrameIntervals = False
246.1993 	DATA 	Keypress: left
246.2133 	EXP 	polygon: autoDraw = False
246.2133 	EXP 	grating: autoDraw = False
246.2135 	EXP 	window1: recordFrameIntervals = False
246.9832 	DATA 	Keypress: right
247.2122 	EXP 	polygon: autoDraw = True
248.1973 	EXP 	grating: autoDraw = True
248.1973 	EXP 	grating: tex = 'sin'
248.2136 	EXP 	polygon: autoDraw = False
248.4976 	EXP 	grating: autoDraw = False
248.5990 	EXP 	window1: recordFrameIntervals = False
248.6000 	DATA 	Keypress: left
248.6138 	EXP 	polygon: autoDraw = False
248.6138 	EXP 	grating: autoDraw = False
248.6139 	EXP 	window1: recordFrameIntervals = False
249.6140 	EXP 	polygon: autoDraw = True
250.5978 	EXP 	grating: autoDraw = True
250.5978 	EXP 	grating: tex = 'sin'
250.6146 	EXP 	polygon: autoDraw = False
250.8978 	EXP 	grating: autoDraw = False
250.9502 	EXP 	window1: recordFrameIntervals = False
250.9513 	DATA 	Keypress: right
250.9645 	EXP 	polygon: autoDraw = False
250.9645 	EXP 	grating: autoDraw = False
250.9647 	EXP 	window1: recordFrameIntervals = False
251.9635 	EXP 	polygon: autoDraw = True
252.9660 	EXP 	polygon: autoDraw = False
252.9660 	EXP 	grating: autoDraw = True
252.9660 	EXP 	grating: tex = 'sin'
253.2656 	EXP 	grating: autoDraw = False
253.3862 	EXP 	window1: recordFrameIntervals = False
253.3877 	DATA 	Keypress: right
253.3995 	EXP 	polygon: autoDraw = False
253.3995 	EXP 	grating: autoDraw = False
253.3997 	EXP 	window1: recordFrameIntervals = False
254.3986 	EXP 	polygon: autoDraw = True
255.3992 	EXP 	polygon: autoDraw = False
255.3992 	EXP 	grating: autoDraw = True
255.3992 	EXP 	grating: tex = 'sin'
255.6681 	EXP 	window1: recordFrameIntervals = False
255.6691 	DATA 	Keypress: left
255.6827 	EXP 	polygon: autoDraw = False
255.6827 	EXP 	grating: autoDraw = False
255.6829 	EXP 	window1: recordFrameIntervals = False
256.6819 	EXP 	polygon: autoDraw = True
257.6664 	EXP 	grating: autoDraw = True
257.6664 	EXP 	grating: tex = 'sin'
257.6838 	EXP 	polygon: autoDraw = False
257.9673 	EXP 	grating: autoDraw = False
258.2185 	EXP 	window1: recordFrameIntervals = False
258.2195 	DATA 	Keypress: left
258.2333 	EXP 	polygon: autoDraw = False
258.2333 	EXP 	grating: autoDraw = False
258.2335 	EXP 	window1: recordFrameIntervals = False
259.0036 	DATA 	Keypress: right
259.2325 	EXP 	polygon: autoDraw = True
260.2193 	EXP 	grating: autoDraw = True
260.2193 	EXP 	grating: tex = 'sin'
260.2355 	EXP 	polygon: autoDraw = False
260.5426 	EXP 	window1: recordFrameIntervals = False
260.5437 	DATA 	Keypress: left
260.5531 	EXP 	polygon: autoDraw = False
260.5531 	EXP 	grating: autoDraw = False
260.5533 	EXP 	window1: recordFrameIntervals = False
261.5507 	EXP 	polygon: autoDraw = True
262.5513 	EXP 	polygon: autoDraw = False
262.5513 	EXP 	grating: autoDraw = True
262.5513 	EXP 	grating: tex = 'sin'
262.8206 	EXP 	window1: recordFrameIntervals = False
262.8217 	DATA 	Keypress: right
262.8352 	EXP 	polygon: autoDraw = False
262.8352 	EXP 	grating: autoDraw = False
262.8354 	EXP 	window1: recordFrameIntervals = False
263.8339 	EXP 	polygon: autoDraw = True
264.8353 	EXP 	polygon: autoDraw = False
264.8353 	EXP 	grating: autoDraw = True
264.8353 	EXP 	grating: tex = 'sin'
265.1356 	EXP 	grating: autoDraw = False
265.2706 	EXP 	window1: recordFrameIntervals = False
265.2716 	DATA 	Keypress: right
265.2855 	EXP 	polygon: autoDraw = False
265.2855 	EXP 	grating: autoDraw = False
265.2856 	EXP 	window1: recordFrameIntervals = False
266.2851 	EXP 	polygon: autoDraw = True
267.2695 	EXP 	grating: autoDraw = True
267.2695 	EXP 	grating: tex = 'sin'
267.2864 	EXP 	polygon: autoDraw = False
267.5695 	EXP 	grating: autoDraw = False
267.6218 	EXP 	window1: recordFrameIntervals = False
267.6228 	DATA 	Keypress: right
267.6362 	EXP 	polygon: autoDraw = False
267.6362 	EXP 	grating: autoDraw = False
267.6364 	EXP 	window1: recordFrameIntervals = False
268.6353 	EXP 	polygon: autoDraw = True
269.6209 	EXP 	grating: autoDraw = True
269.6209 	EXP 	grating: tex = 'sin'
269.6376 	EXP 	polygon: autoDraw = False
269.9205 	EXP 	grating: autoDraw = False
269.9387 	EXP 	window1: recordFrameIntervals = False
269.9397 	DATA 	Keypress: right
269.9534 	EXP 	polygon: autoDraw = False
269.9534 	EXP 	grating: autoDraw = False
269.9536 	EXP 	window1: recordFrameIntervals = False
270.9526 	EXP 	polygon: autoDraw = True
271.9377 	EXP 	grating: autoDraw = True
271.9377 	EXP 	grating: tex = 'sin'
271.9544 	EXP 	polygon: autoDraw = False
272.2378 	EXP 	grating: autoDraw = False
272.2398 	EXP 	window1: recordFrameIntervals = False
272.2409 	DATA 	Keypress: right
272.2551 	EXP 	polygon: autoDraw = False
272.2551 	EXP 	grating: autoDraw = False
272.2553 	EXP 	window1: recordFrameIntervals = False
273.2534 	EXP 	polygon: autoDraw = True
274.2386 	EXP 	grating: autoDraw = True
274.2386 	EXP 	grating: tex = 'sin'
274.2552 	EXP 	polygon: autoDraw = False
274.5391 	EXP 	grating: autoDraw = False
274.7241 	EXP 	window1: recordFrameIntervals = False
274.7251 	DATA 	Keypress: right
274.7386 	EXP 	polygon: autoDraw = False
274.7386 	EXP 	grating: autoDraw = False
274.7388 	EXP 	window1: recordFrameIntervals = False
275.7378 	EXP 	polygon: autoDraw = True
276.7390 	EXP 	polygon: autoDraw = False
276.7390 	EXP 	grating: autoDraw = True
276.7390 	EXP 	grating: tex = 'sin'
277.0392 	EXP 	grating: autoDraw = False
277.5247 	EXP 	window1: recordFrameIntervals = False
277.5257 	DATA 	Keypress: left
277.5395 	EXP 	polygon: autoDraw = False
277.5395 	EXP 	grating: autoDraw = False
277.5397 	EXP 	window1: recordFrameIntervals = False
278.5391 	EXP 	polygon: autoDraw = True
279.5400 	EXP 	polygon: autoDraw = False
279.5400 	EXP 	grating: autoDraw = True
279.5400 	EXP 	grating: tex = 'sin'
279.8398 	EXP 	grating: autoDraw = False
279.9088 	EXP 	window1: recordFrameIntervals = False
279.9098 	DATA 	Keypress: right
279.9231 	EXP 	polygon: autoDraw = False
279.9231 	EXP 	grating: autoDraw = False
279.9233 	EXP 	window1: recordFrameIntervals = False
280.9225 	EXP 	polygon: autoDraw = True
281.9085 	EXP 	grating: autoDraw = True
